Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
"SIES College of Arts, Science and Commerce","Sri Chandrasekarendra Saraswati Vidyapuram, Plot I-C, Dr D Y Patil Vidyanagar, Sector 5, Nerul, Navi Mumbai, Maharashtra 400706",Sri Chandrasekarendra Saraswati Vidyapuram,Plot I-C,College,022 2770 8371,"022 2770 8371, +91 22 2770 8371",NO,567,4.1,https://search.google.com/local/reviews?placeid=ChIJv-g3YdvD5zsRIYVrQCxSj50&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11353383535637136673,19.0431337,73.02346109999999,http://www.siesascn.edu.in/,siesascn.edu.in,"Monday:[7:30 am–6 pm], Tuesday:[7:30 am–6 pm], Wednesday:[7:30 am–6 pm], Thursday:[7:30 am–6 pm], Friday:[7:30 am–6 pm], Saturday:[7:30 am–6 pm], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipPvLrmtW9OVW_D1ce_7M0XDlMx69TawQj2v5iNU=w80-h106-k-no,11353383535637136673,ChIJv-g3YdvD5zsRIYVrQCxSj50,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
S.K. College of Science and Commerce,"Plot no 31, Sector 25 Next To Seawoods Railway Station, Nerul, Navi Mumbai, Maharashtra 400706","Plot no 31, Sector 25 Next To Seawoods Railway Station",Nerul,College,022 2771 1481,"022 2771 1481, +91 22 2771 1481",NO,244,3.9,https://search.google.com/local/reviews?placeid=ChIJhfvOh7vD5zsR90W7cWEv_fY&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17797433398004499959,19.0218418,73.0229889,,,,https://lh5.googleusercontent.com/p/AF1QipPvUaLp1KWKnuMrlCTeoQlMeE0WLkbrPAYlyfZ4=w122-h92-k-no,17797433398004499959,ChIJhfvOh7vD5zsR90W7cWEv_fY,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Bharati Vidyapeeth College of Engineering, Navi Mumbai","Sector 7, CBD Belapur, Navi Mumbai, Maharashtra 400614","Sector 7, CBD Belapur","Navi Mumbai, Maharashtra 400614",Engineering school,022 2757 2140,"022 2757 2140, +91 22 2757 2140",YES,1250,4.1,https://search.google.com/local/reviews?placeid=ChIJr2PXk0PC5zsRDTgJgN9SZiY&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2766990140945020941,19.0264606,73.0550782,http://bvcoenm.edu.in/,bvcoenm.edu.in,"Monday:[9 am–5 pm], Tuesday:[9 am–5 pm], Wednesday:[9 am–5 pm], Thursday:[9 am–5 pm], Friday:[9 am–5 pm], Saturday:[9 am–12 pm], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipOSYIK2RHvaSNUjTrakbEA1cHEOEEABpCYho48w=w141-h92-k-no,2766990140945020941,ChIJr2PXk0PC5zsRDTgJgN9SZiY,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Rajiv Gandhi College of Arts, Commerce and Science","16/17, Juhu Nagar Rd, Juhu Nagar, Sector 10A, Vashi, Navi Mumbai, Maharashtra 400703","16/17, Juhu Nagar Rd","Juhu Nagar, Sector 10A, Vashi",College,022 2766 7377,"022 2766 7377, +91 22 2766 7377",NO,197,3.9,https://search.google.com/local/reviews?placeid=ChIJB2lUoTTB5zsRraIM2Nn8Ij0&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4405361398084575917,19.0785014,72.99485849999999,https://setrgc.edu.in/,setrgc.edu.in,,https://lh5.googleusercontent.com/p/AF1QipMnwVLh8kufPxTelm5o6F0INDuvdmQurjLXZpoG=w92-h92-k-no,4405361398084575917,ChIJB2lUoTTB5zsRraIM2Nn8Ij0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sanpada College of Commerce & Technology,"Sector - 2, Plot No. 3, 4 & 5, Behind, Sanpada Railway Station Road, Sanpada West, Navi Mumbai, Maharashtra 400705","Sector - 2, Plot No. 3, 4 & 5","Behind, Sanpada Railway Station Road",College,022 2775 3117,"022 2775 3117, +91 22 2775 3117",YES,345,3.9,https://search.google.com/local/reviews?placeid=ChIJST1Y2kTB5zsR0MfFiBA6tOk&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=16840148749333678032,19.064304099999998,73.0079437,http://www.scct.edu.in/,scct.edu.in,"Monday:[7:30 am–3:30 pm], Tuesday:[7:30 am–3:30 pm], Wednesday:[7:30 am–3:30 pm], Thursday:[7:30 am–3:30 pm], Friday:[7:30 am–3:30 pm], Saturday:[7:30 am–3:30 pm], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipPrBsm5L7in-62hlH-_fky5bublyy5oF9nspIyZ=w122-h92-k-no,16840148749333678032,ChIJST1Y2kTB5zsR0MfFiBA6tOk,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pillai College of Arts, Commerce & Science ( Autonomous)","Dr. K.M.Vasudevan Pillai Campus, Plot No.10, Sector 16, New Panvel East, Panvel, Navi Mumbai, Maharashtra 410206",Dr. K.M.Vasudevan Pillai Campus,Plot No.10,College,022 2745 1700,"022 2745 1700, +91 22 2745 1700",YES,1057,4.4,https://search.google.com/local/reviews?placeid=ChIJMbnGFQnC5zsRhQMF8cgn98A&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13904626118520275845,18.9898611,73.1279296,https://pcacs.ac.in/,pcacs.ac.in,"Monday:[7:30 am–6 pm], Tuesday:[7:30 am–6 pm], Wednesday:[7:30 am–6 pm], Thursday:[7:30 am–6 pm], Friday:[7:30 am–6 pm], Saturday:[7:30 am–6 pm], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipOA7lgGUv24oRoi_4n_AEeid2J7bMIptqKXaLk7=w163-h92-k-no,13904626118520275845,ChIJMbnGFQnC5zsRhQMF8cgn98A,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Western College of Commerce & Business Management,"Plot No. 2, Sector 9, Sanpada, Navi Mumbai, Maharashtra 400705",Plot No. 2,"Sector 9, Sanpada",College,022 2775 3226,"022 2775 3226, +91 22 2775 3226",YES,452,4.3,https://search.google.com/local/reviews?placeid=ChIJ____jzPB5zsRFqR4wbT6_QE&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=143546417392690198,19.059704699999998,73.01372649999999,http://www.wccbm.ac.in/,wccbm.ac.in,"Monday:[9:30 am–5 pm], Tuesday:[9:30 am–5 pm], Wednesday:[9:30 am–5 pm], Thursday:[9:30 am–5 pm], Friday:[9:30 am–5 pm], Saturday:[9:30 am–5 pm], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipOaLTfV5bi389bJvNuC-grqecPfPNJ_Sx3rUXNz=w150-h92-k-no,143546417392690198,ChIJ____jzPB5zsRFqR4wbT6_QE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Navi Mumbai Junior College,"Plot No 7, MAFCO Rd, Opp, Railway Colony, Kopripada, Sector 26, Vashi, Navi Mumbai, Maharashtra 400703",Plot No 7,MAFCO Rd,"College,University",097384 01436,"097384 01436, +91 97384 01436",NO,39,4.3,https://search.google.com/local/reviews?placeid=ChIJBQwJ3yLB5zsRiXGRQMtxxVM&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6036355993335591305,19.0877171,73.0141503,http://www.trustrelocation.com/,trustrelocation.com,"Monday:[8 am–2 am], Tuesday:[8 am–2 am], Wednesday:[8 am–2 am], Thursday:[8 am–2 am], Friday:[8 am–2 am], Saturday:[8 am–2 am], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipOedNRp4oZM0Nro7X5s8tfF1FNq6GwJf-vnJmxS=w163-h92-k-no,6036355993335591305,ChIJBQwJ3yLB5zsRiXGRQMtxxVM,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Bakliwal Foundation - College of Arts, Commerce & Science","U Building, 1st Floor, Dana Bandar, APMC Plot No 7, near RTO, Sector 19B, Vashi, Navi Mumbai, Maharashtra 400703","U Building, 1st Floor, Dana Bandar, APMC Plot No 7",near RTO,"College,Business school,Educational institution,Graduate school,Junior college,Management school,Private College,University",093246 56222,"093246 56222, +91 93246 56222",YES,140,4.5,https://search.google.com/local/reviews?placeid=ChIJOdQEKP7B5zsRhOC_OKwoR3c&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8594883134011465860,19.0857071,73.0104838,https://bakliwalfoundation.in/,bakliwalfoundation.in,"Monday:[8:40 am–6 pm], Tuesday:[8:40 am–6 pm], Wednesday:[8:40 am–6 pm], Thursday:[8:40 am–6 pm], Friday:[8:40 am–6 pm], Saturday:[8:40 am–6 pm], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipOkeE5HUGW9jnK_DjgSjHTzzvQaNKZovCKDks4J=w163-h92-k-no,8594883134011465860,ChIJOdQEKP7B5zsRhOC_OKwoR3c,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Tilak College of Science, Commerce and Arts","Plot no 131, Sector 28, Sector 28 Vashi Road, Kopri Rd, Navi Mumbai, Maharashtra 400703","Plot no 131, Sector 28, Sector 28 Vashi Road",Kopri Rd,College,022 2765 5267,"022 2765 5267, +91 22 2765 5267",NO,331,3.5,https://search.google.com/local/reviews?placeid=ChIJH5fsTCTB5zsRd7RNu2A5d5g&q=navi+mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10986312903615689847,19.0902341,73.0079186,,,"Monday:[7:30 am–5:50 pm], Tuesday:[7:30 am–5:50 pm], Wednesday:[7:30 am–5:50 pm], Thursday:[7:30 am–5:50 pm], Friday:[7:30 am–5:50 pm], Saturday:[7:30 am–5:50 pm], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipO7ECA-GKeNxGGG97wT_VzeyQ-hssfgASvv-1oO=w122-h92-k-no,10986312903615689847,ChIJH5fsTCTB5zsRd7RNu2A5d5g,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
