Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
"Apollo Hospital, Navi Mumbai","Room No. 14, First Floor, Apollo Hospitals, Plot#13, Parsik Hill Rd, off Uran Road, Sector 23, CBD Belapur, Navi Mumbai, Maharashtra 400614","Room No. 14, First Floor",Apollo Hospitals,Hospital,022 3350 3350,"022 3350 3350, +91 22 3350 3350",NO,19372,4.7,https://search.google.com/local/reviews?placeid=ChIJl5I8OpDD5zsRBWCFNF2iWLg&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13283545622126092293,19.0206741,73.029102,https://www.apollohospitals.com/,apollohospitals.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOCW6hm1AEuFfGLhbF3rWgr2W_H2nN1kusY5OmR=w80-h106-k-no,13283545622126092293,ChIJl5I8OpDD5zsRBWCFNF2iWLg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"MITR Hospital in Kharghar, Navi Mumbai","Plot:37, Eden Gardens, opposite Harmony International School, Sector-5, Kharghar, Navi Mumbai, Maharashtra 410210",Plot:37,Eden Gardens,"Private hospital,General hospital,Hospital,Urologist",062626 90790,"062626 90790, +91 62626 90790",YES,1971,4.8,https://search.google.com/local/reviews?placeid=ChIJf4dNyT7C5zsRGso-n487EUU&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4976824551259163162,19.0372484,73.0586421,http://www.mitrhospital.com/,mitrhospital.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOlpTRJojraOEXLGOq5pT_Lsk7o0j-ugerdwFFK=w163-h92-k-no,4976824551259163162,ChIJf4dNyT7C5zsRGso-n487EUU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Shree Hospital,"2nd Floor, Raikar Bhavan, Shree Hospital, near Navaratna Hotel, Sector 17, Vashi, Navi Mumbai, Maharashtra 400705","2nd Floor, Raikar Bhavan",Shree Hospital,"Hospital,Nursing home,Orthopedic clinic",098202 29691,"098202 29691, +91 98202 29691",YES,262,4.8,https://search.google.com/local/reviews?placeid=ChIJAWudDkrB5zsRHfAOXY9949k&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=15700530780638736413,19.0728793,72.9981865,,,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPTrcvMclSYBOYXPnHBMWnlgh4MzzsggKPYmP7K=w138-h92-k-no,15700530780638736413,ChIJAWudDkrB5zsRHfAOXY9949k,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
POLARIS MULTISPECIALITY HOSPITAL | Best Hospital in Kharghar Navi Mumbai | Dialysis Centre | ICU,"Plot-19/C, Sector 20, Kharghar, Navi Mumbai, Maharashtra 410210",Plot-19/C,"Sector 20, Kharghar","Hospital,Cardiologist,Cardiovascular and thoracic surgeon,Dialysis center,Gynecologist,Medical diagnostic imaging center,Orthopedic surgeon,Physiotherapist,Physiotherapy Center,Private hospital",093723 38820,"093723 38820, +91 93723 38820",YES,1065,4.6,https://search.google.com/local/reviews?placeid=ChIJe5XDUBrC5zsRTfe869SUvW4&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7979697756979394381,19.0477497,73.0728879,http://polarishospital.in/,polarishospital.in,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipM1aIbnenF--JRM4EA82Ld1aNpggxJIV-SZAbz5=w80-h177-k-no,7979697756979394381,ChIJe5XDUBrC5zsRTfe869SUvW4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
MGM Hospital,"Plot No.35, Atmashanti Society, Sector 3, Vashi, Navi Mumbai, Maharashtra 400703",Plot No.35,"Atmashanti Society, Sector 3, Vashi","General hospital,Hospital",022 5066 6777,"022 5066 6777, +91 22 5066 6777",YES,2666,4.4,https://search.google.com/local/reviews?placeid=ChIJWe9MqcrG5zsR6JF00YB9l9I&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=15174735461671539176,19.072311,72.9935544,http://www.mgmhospitalvashi.net/,mgmhospitalvashi.net,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPcei3d_P_RO25hTrr6INM9UyDGKKWGFA_kaLxg=w80-h106-k-no,15174735461671539176,ChIJWe9MqcrG5zsR6JF00YB9l9I,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
New Manak health care hospital,"Manak healthcare Care hospital, Near, Rajiv Gandhi Bridge, sector 8, Nerul West, Nerul, Navi Mumbai, Maharashtra 400706",Manak healthcare Care hospital,"Near, Rajiv Gandhi Bridge","Specialized hospital,Dermatologist,General practitioner,Obstetrician-gynecologist,Pediatrician,Physiotherapy Center,Psychiatrist,Pulmonologist,Old Age Home,Surgeon",082874 34988,"082874 34988, +91 82874 34988",YES,336,4.2,https://search.google.com/local/reviews?placeid=ChIJNaUQcd3D5zsRN5aQR1uExOk&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=16844734033850046007,19.0433316,73.0178241,http://www.manakhospital.org/,manakhospital.org,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMPPNzVxUsfQ1z6hwggxeyxp2AQeBEvH9AqSTwa=w122-h92-k-no,16844734033850046007,ChIJNaUQcd3D5zsRN5aQR1uExOk,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
New Millennium Multispeciality Hospital,"Olive Shallots, Sanpada East, C, Sector 5, Sanpada, Navi Mumbai, Maharashtra 400705",Olive Shallots,"Sanpada East, C, Sector 5, Sanpada",Hospital,7GCnZojJM-CgnesP8uDboQY,,YES,327,4.3,https://search.google.com/local/reviews?placeid=ChIJyw7sIF3B5zsRyxME7wnpvr8&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13816736935693259723,19.0619186,73.0141273,https://newmillenniumhospitals.com/,newmillenniumhospitals.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOMx1kXnz2hj3kYt0SL-E8EFypJ2CsatI6TpKM=w92-h92-k-no,13816736935693259723,ChIJyw7sIF3B5zsRyxME7wnpvr8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sai Snehdeep Hospital,"plot no 12/13, near Indian Oil Petrol Pump, Sector 20, Kopar Khairane, Navi Mumbai, Maharashtra 400709",plot no 12/13,near Indian Oil Petrol Pump,"Private hospital,General hospital,Gynecologist,Internal medicine ward,Neurologist,Ophthalmologist,Orthopedic surgeon,ENT Specialist,Pediatrician,Urologist",089895 85050,"089895 85050, +91 89895 85050",YES,1524,4.6,https://search.google.com/local/reviews?placeid=ChIJz8nULs7A5zsRJHFSMHTCX28&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8025346865280217380,19.108500499999998,73.0017709,http://www.ssdhospital.in/,ssdhospital.in,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipNuuMLb-8JSNFGpykPcNwqLwM5OXnZ7iKWe-4se=w122-h92-k-no,8025346865280217380,ChIJz8nULs7A5zsRJHFSMHTCX28,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Mayuresh Hospital,"1st Floor A wing, Mayuresh Trade Centre, Vashi-Turbhe Rd, Sector 19A, Navi Mumbai, Maharashtra 400703","1st Floor A wing, Mayuresh Trade Centre",Vashi-Turbhe Rd,General hospital,098335 14917,"098335 14917, +91 98335 14917",YES,132,4.5,https://search.google.com/local/reviews?placeid=ChIJxYoMNynB5zsRjga5atcJdwY&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=465851907269265038,19.0736943,73.0119059,https://mayureshhospital.com/,mayureshhospital.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMMzNYX4YTgXfFw1W82zmEN8Hu04joU-taitsFr=w163-h92-k-no,465851907269265038,ChIJxYoMNynB5zsRjga5atcJdwY,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Bharti Multispeciality Hospital,"appartment, plot no- 59, Anmol Sankalp, First floor, west, sector no- 5, Ulwe, Navi Mumbai, Maharashtra 410206","appartment, plot no- 59, Anmol Sankalp",First floor,"Hospital,Dental clinic,Diabetes center,General practitioner,Maternity Centre,Women's health clinic,Orthopedic clinic,Pregnancy care center,Sports medicine clinic,Surgeon",080068 61111,"080068 61111, +91 80068 61111",YES,585,4.9,https://search.google.com/local/reviews?placeid=ChIJX_nvVnfD5zsR2rgqLX3MWQU&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=385564081117640922,18.9802158,73.0251818,https://bhartihospitalulwe.com/,bhartihospitalulwe.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMF8PsRYWsYij7XzNz5oO1x16THd4lmV5A2q-se=w138-h92-k-no,385564081117640922,ChIJX_nvVnfD5zsR2rgqLX3MWQU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
