Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Aditi Medical,"Shop No.A-2/577/578, Sanpada Station, MAFCO Rd, Sector 21, Turbhe, Navi Mumbai, Maharashtra 400705","Shop No.A-2/577/578, Sanpada Station",MAFCO Rd,Pharmacy,077109 32884,"077109 32884, +91 77109 32884",YES,11,4.9,https://search.google.com/local/reviews?placeid=ChIJh957FUfB5zsRRTh3xHIlVF0&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6725041318423640133,19.072982,73.0095281,,,"Monday:[9 am–10:30 pm], Tuesday:[9 am–10:30 pm], Wednesday:[9 am–10:30 pm], Thursday:[9 am–10:30 pm], Friday:[9 am–10:30 pm], Saturday:[9 am–10:30 pm], Sunday:[9 am–10:30 pm]",https://lh5.googleusercontent.com/p/AF1QipO6LS9G4b3jRlrmkg05Anmvtug5qVTw_o1d9xai=w80-h142-k-no,6725041318423640133,ChIJh957FUfB5zsRRTh3xHIlVF0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Anmol Medical - Best Pharmacy Store in Navi-Mumbai,"Janai Apartment, Shop No. 6, Plot No. 170, Sector 5, Sanpada, Navi Mumbai, Maharashtra 400703",Janai Apartment,"Shop No. 6, Plot No. 170","Pharmacy,Health and beauty shop,Medical supply store",ymGnZrfpM_n2seMPzu7O4A4,,YES,5,5,https://search.google.com/local/reviews?placeid=ChIJ9-yPc2DB5zsRJQzd6yPGYYI&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9395008155254852645,19.103315,73.0077649,https://www.facebook.com/AnmolMedicalNaviMumbai/,facebook.com,"Monday:[9:30 am–11 pm], Tuesday:[9:30 am–11 pm], Wednesday:[9:30 am–11 pm], Thursday:[9:30 am–11 pm], Friday:[9:30 am–11 pm], Saturday:[9:30 am–11 pm], Sunday:[9:30 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipMglxvhExptpGDVx-bgcNs2wAZ8PJ-ttIvANbt2=w122-h92-k-no,9395008155254852645,ChIJ9-yPc2DB5zsRJQzd6yPGYYI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Vcare Medical,"Shop No.7, Trimbak Towers, Plot No. 86, Palm Beach Rd, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614",Shop No.7,Trimbak Towers,"Pharmacy,Herbal medicine store,Homeopathic pharmacy,Medical equipment supplier,Medical supply store,Pharmaceuticals Exporter,Pharmaceutical Products Wholesaler,Surgical Products Wholesaler,Surgical supply store,Veterinary pharmacy",022 4972 0166,"022 4972 0166, +91 22 4972 0166",YES,99,4.7,https://search.google.com/local/reviews?placeid=ChIJQXocsKvD5zsRqbO1su6xkYg&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9840842299539829673,19.011675999999998,73.036817,,,"Monday:[9 am–12 am], Tuesday:[9 am–12 am], Wednesday:[9 am–12 am], Thursday:[9 am–12 am], Friday:[9 am–12 am], Saturday:[9 am–12 am], Sunday:[11:30 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipOphs4Z_0YWjlA_KDnmy65ycxtyv_fvnUitJriQ=w122-h92-k-no,9840842299539829673,ChIJQXocsKvD5zsRqbO1su6xkYg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
GREEN MEDS CHEMIST,"Shop No 23 & 24, PLOT NO.- 88, 79 & 80, Green Heritage Cir, Sector 20, Kharghar, Navi Mumbai, Maharashtra 410210",Shop No 23 & 24,PLOT NO.- 88,"Pharmacy,Health and beauty shop,Medical equipment supplier,Medical supply store",081089 90099,"081089 90099, +91 81089 90099",YES,50,4.5,https://search.google.com/local/reviews?placeid=ChIJDUICnAXD5zsRVvPTHJ1Rm4M&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9483263175594079062,19.052716099999998,73.0709971,http://greenmeds.in/,greenmeds.in,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipP3yjs3c9l8raesxI0BSJB13r8e0IuN-O0_H_H8=w138-h92-k-no,9483263175594079062,ChIJDUICnAXD5zsRVvPTHJ1Rm4M,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Vassu Medical,"B-3, /10/0:3, PLOT NO.1, Juhu Nagar, Sector 15, Vashi, Navi Mumbai, Maharashtra 400703","B-3, /10/0:3",PLOT NO.1,Pharmacy,022 2766 9444,"022 2766 9444, +91 22 2766 9444",YES,37,5,https://search.google.com/local/reviews?placeid=ChIJm053WDHB5zsRGfogBv4_no8&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10348779354001046041,19.0802025,72.9991593,,,"Monday:[9 am–12 am], Tuesday:[9 am–12 am], Wednesday:[9 am–12 am], Thursday:[9 am–12 am], Friday:[9 am–12 am], Saturday:[9 am–12 am], Sunday:[9 am–12 am]",https://lh5.googleusercontent.com/p/AF1QipON5WZjQjw7q3nBrTNtBYsT7C4l-WvtK1DDCPDI=w163-h92-k-no,10348779354001046041,ChIJm053WDHB5zsRGfogBv4_no8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Satnam Medical And General Store,"Shop Number.8, 19, behind Om Shiv Darshan Apartment, Sector 20, CBD Belapur, Navi Mumbai, Maharashtra 400706",Shop Number.8,19,"Drug store,Pharmacy",090226 83834,"090226 83834, +91 90226 83834",YES,59,4.7,https://search.google.com/local/reviews?placeid=ChIJtdXNnavD5zsRykI1obF3w-4&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17204726606282965706,19.0126031,73.0369765,,,"Monday:[9 am–11 pm], Tuesday:[9 am–11 pm], Wednesday:[9 am–11 pm], Thursday:[9 am–11 pm], Friday:[9 am–11 pm], Saturday:[9 am–11 pm], Sunday:[9 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipNjBrtFBql0ETONgKWcSfUsFGf2gtQnDlsJPXG7=w80-h106-k-no,17204726606282965706,ChIJtdXNnavD5zsRykI1obF3w-4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Vama Medical Store,"Shop Number.49, Shiv Center Building, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703",Shop Number.49,Shiv Center Building,"Pharmacy,Medical Center",099301 52638,"099301 52638, +91 99301 52638",YES,17,4.8,https://search.google.com/local/reviews?placeid=ChIJQ6W3l5nB5zsRuvFFt_L06lg&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6407202743182029242,19.073607199999998,73.00151149999999,,,"Monday:[10 am–12 am], Tuesday:[10 am–12 am], Wednesday:[10 am–12 am], Thursday:[10 am–12 am], Friday:[10 am–12 am], Saturday:[10 am–12 am], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipNj8CN_k4tR6phHq1N3kZv4rEufPAJ7R0XyFY_7=w122-h92-k-no,6407202743182029242,ChIJQ6W3l5nB5zsRuvFFt_L06lg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Prachi Medical & General Stores,"29, Thane - Belapur Rd, Agroli, Sector 29, Turbhe, Mumbai, Navi Mumbai, Maharashtra 400614","29, Thane - Belapur Rd","Agroli, Sector 29, Turbhe",Pharmacy,098196 02676,"098196 02676, +91 98196 02676",NO,2,5,https://search.google.com/local/reviews?placeid=ChIJhQGjcLLD5zsRJGjbDfg_x6E&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11657356495088740388,19.020089499999997,73.03680299999999,,,"Monday:[8 am–10 pm], Tuesday:[8 am–10 pm], Wednesday:[8 am–10 pm], Thursday:[8 am–10 pm], Friday:[8 am–10 pm], Saturday:[8 am–10 pm], Sunday:[8 am–10 pm]",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hkZZqajHcqzEQHSdJ1BVhg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=268.51157&pitch=0&thumbfov=100,11657356495088740388,ChIJhQGjcLLD5zsRJGjbDfg_x6E,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Medtips medical store,"Shop no 1,plot, Sai Saveli CHS, 22, Sector 19 Rd, Kesar Symphony, Sector-19, Kharghar, kharghar, Navi Mumbai, Maharashtra 410210","Shop no 1,plot",Sai Saveli CHS,Pharmacy,078147 72720,"078147 72720, +91 78147 72720",YES,191,5,https://search.google.com/local/reviews?placeid=ChIJo0r2kNbD5zsRRLPiZHoEwaI&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11727659828374582084,19.0483118,73.0756506,http://medtips.in/,medtips.in,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipNGuTXyl7GZq_zf3tTtDU3ou7DofDgdd8y91xbb=w80-h106-k-no,11727659828374582084,ChIJo0r2kNbD5zsRRLPiZHoEwaI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
City Medical,"Shop No.2, Plot, NO.53A, Shankar Changu Kanha Thakur Marg, Arunodaya Society, Nerul East, Sector VI, Sarsole, Navi Mumbai, Maharashtra 400706","Shop No.2, Plot","NO.53A, Shankar Changu Kanha Thakur Marg",Pharmacy,084540 94285,"084540 94285, +91 84540 94285",NO,12,4.4,https://search.google.com/local/reviews?placeid=ChIJuz4Q0efD5zsRBsvt_3dAisk&q=navi+mumbai+all+Medicals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14522490832548645638,19.0407802,73.014501,,,"Monday:[10 am–10 pm], Tuesday:[10 am–10 pm], Wednesday:[10 am–10 pm], Thursday:[10 am–10 pm], Friday:[10 am–10 pm], Saturday:[10 am–10 pm], Sunday:[10 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipNtroeYw1gi_Y4r9KJI1aA5EtZQdlydECbwGa2n=w122-h92-k-no,14522490832548645638,ChIJuz4Q0efD5zsRBsvt_3dAisk,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
