Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
"NEW BOMBAY CITY SCHOOL, CBSE","Plot no- 8, Sector 9, Ghansoli, Navi Mumbai, Maharashtra 400701",Plot no- 8,"Sector 9, Ghansoli","CBSE School,School,Secondary school",093217 02662,"093217 02662, +91 93217 02662",YES,158,4.4,https://search.google.com/local/reviews?placeid=ChIJG7CG6ubB5zsRb20yghvPOsM&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14067784103100575087,19.11677,72.9990909,http://www.nbcscbse.in/,nbcscbse.in,"Monday:[7 am–4 pm], Tuesday:[7 am–4 pm], Wednesday:[7 am–4 pm], Thursday:[7 am–4 pm], Friday:[7 am–4 pm], Saturday:[7 am–12:30 pm], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipOXL8hPcYozXH4xP02Rd3j3oy6hD0nfC-75E_-Z=w122-h92-k-no,14067784103100575087,ChIJG7CG6ubB5zsRb20yghvPOsM,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Delhi Public School, Navi Mumbai","2249+698, Palm Beach Rd, near NRI Complex, Phase 2, Sector - 52, Nerul, Navi Mumbai, Maharashtra 400706",2249+698,Palm Beach Rd,"CBSE School,Public educational institution,School",022 3524 8777,"022 3524 8777, +91 22 3524 8777",NO,349,4,https://search.google.com/local/reviews?placeid=ChIJ_____8PD5zsRlLkfVPpqnRI&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1341345887412009364,19.005537099999998,73.0184506,http://www.dpsnavimumbai.edu.in/,dpsnavimumbai.edu.in,"Monday:[8 am–4 pm], Tuesday:[8 am–4 pm], Wednesday:[8 am–4 pm], Thursday:[8 am–4 pm], Friday:[8 am–4 pm], Saturday:[Closed], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipOY0RPkTuH3YqgHkhRarPkf-ZLZZoO6rVNJjvCF=w200-h92-k-no,1341345887412009364,ChIJ_____8PD5zsRlLkfVPpqnRI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
ORCHIDS The International School - CBSE School in Seawoods,"Plot no. 5, Post Office Nerul Node III, Seawoods West, Sector 40, Seawoods, Navi Mumbai, Maharashtra 400706",Plot no. 5,Post Office Nerul Node III,"CBSE School,Elementary school,International school,Middle school,Nursery school,Preschool",088888 88999,"088888 88999, +91 88888 88999",YES,103,4.5,https://search.google.com/local/reviews?placeid=ChIJCaDyo_7D5zsRF8Z1BOY_4to&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=15772239102154753559,19.021596199999998,73.0137826,https://www.orchidsinternationalschool.com/mumbai-branches/seawoods/?utm_source=googlemaps&utm_medium=website&utm_campaign=maps-listing,orchidsinternationalschool.com,"Monday:[9:30 am–6:31 pm], Tuesday:[9:30 am–6:32 pm], Wednesday:[9:30 am–6:33 pm], Thursday:[9:30 am–6:34 pm], Friday:[9:30 am–6:35 pm], Saturday:[9:30 am–6:36 pm], Sunday:[9:30 am–6:30 pm]",https://lh5.googleusercontent.com/p/AF1QipNKEJC9wmk3z_BmwAnm6fDALIkoEgE-eIlEAsWW=w138-h92-k-no,15772239102154753559,ChIJCaDyo_7D5zsRF8Z1BOY_4to,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"OES International School, Vashi","Plot No, 149, Juhu Gaon Khadi Rd, Juhu Nagar, Sector 12, Vashi, Navi Mumbai, Maharashtra 400703",Plot No,"149, Juhu Gaon Khadi Rd","School,High school,Middle school",086550 80050,"086550 80050, +91 86550 80050",YES,95,4.6,https://search.google.com/local/reviews?placeid=ChIJ85DipyjB5zsRLftftNv4SY4&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10252999649193360173,19.091974099999998,73.00526599999999,https://oesis.edu.in/,oesis.edu.in,"Monday:[8:30 am–5 pm], Tuesday:[8:30 am–5 pm], Wednesday:[8:30 am–5 pm], Thursday:[8:30 am–5 pm], Friday:[8:30 am–5 pm], Saturday:[9 am–4:30 pm], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipNF7dauzBvnCv7gotccvk9xzg5U7hEyWCI9Mm7S=w92-h92-k-no,10252999649193360173,ChIJ85DipyjB5zsRLftftNv4SY4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Navi Mumbai Mahanagar Palika CBSE school,"2268+JW5, Karave Nagar, Seawoods, Navi Mumbai, Maharashtra 400706",2268+JW5,"Karave Nagar, Seawoods","CBSE School,School",5V6nZsidOqCQseMPtvud6Ac,,NO,3,5,https://search.google.com/local/reviews?placeid=ChIJR9fqln_D5zsRVVvGOpZWzPE&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17423396261620767573,19.0115172,73.0173539,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TcfFb9AJRW_9rJsQATwu8w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=114.359276&pitch=0&thumbfov=100,17423396261620767573,ChIJR9fqln_D5zsRVVvGOpZWzPE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
I E S Navi Mumbai High School,"3XCW+G43, Premnath Maruti Patil Marg, Sector 1, Vashi, Navi Mumbai, Maharashtra 400703",3XCW+G43,Premnath Maruti Patil Marg,High school,022 2782 5895,"022 2782 5895, +91 22 2782 5895",NO,168,4.3,https://search.google.com/local/reviews?placeid=ChIJ67f87krB5zsRP9caZ5nLK1k&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6425453153094391615,19.071265099999998,72.99529439999999,https://www.ies.edu/vashi/,ies.edu,"Monday:[6:30 am–6:30 pm], Tuesday:[6:30 am–6:30 pm], Wednesday:[6:15 am–6:30 pm], Thursday:[6:15 am–6:30 pm], Friday:[6:15 am–6:30 pm], Saturday:[Closed], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipP8k7C3crCGGb6_Ykes2WifDDC6OMHqbherKFw-=w163-h92-k-no,6425453153094391615,ChIJ67f87krB5zsRP9caZ5nLK1k,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Delhi World Public School,"Plot no. 7A & 7B, Sector 12, Near, Palm Beach Rd, Nerul West, Navi Mumbai, Maharashtra 400706","Plot no. 7A & 7B, Sector 12","Near, Palm Beach Rd",CBSE School,090822 90746,"090822 90746, +91 90822 90746",YES,207,4.7,https://search.google.com/local/reviews?placeid=ChIJe-RrHenD5zsR4nl_y-vMXGA&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6943650038601972194,19.037602,73.01351,http://dwpsnerul.com/,dwpsnerul.com,"Monday:[8 am–5 pm], Tuesday:[8 am–5 pm], Wednesday:[8 am–5 pm], Thursday:[8 am–5 pm], Friday:[8 am–5 pm], Saturday:[8 am–3 pm], Sunday:[9 am–4 am]",https://lh5.googleusercontent.com/p/AF1QipPqrN9Kr5qeLbeGlwcmCOVj_HFUH6ShndFgziEC=w122-h92-k-no,6943650038601972194,ChIJe-RrHenD5zsR4nl_y-vMXGA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
ORCHIDS The International School - CBSE School in Vashi,"Plot No. 6A, Kopari, MAFCO Rd, beside Swami Vivekanand School, Sector 26, Vashi, Navi Mumbai, Maharashtra 400703","Plot No. 6A, Kopari",MAFCO Rd,"CBSE School,Elementary school,High school,International school,Middle school,Nursery school,Preschool",088888 88999,"088888 88999, +91 88888 88999",YES,163,4.1,https://search.google.com/local/reviews?placeid=ChIJW3AzpSPB5zsRdZ-Dfqfp7GY&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7416559591963729781,19.0879245,73.01435339999999,https://www.orchidsinternationalschool.com/mumbai-branches/vashi/?utm_source=googlemaps&utm_medium=website&utm_campaign=maps-listing,orchidsinternationalschool.com,"Monday:[9 am–6:30 pm], Tuesday:[9 am–6:30 pm], Wednesday:[9 am–6:30 pm], Thursday:[9 am–6:30 pm], Friday:[9 am–6:30 pm], Saturday:[9 am–6:30 pm], Sunday:[9 am–6:30 pm]",https://lh5.googleusercontent.com/p/AF1QipODs4yb5h04NfMf9h0vKmmMf0TXEqkHlpg7ix9f=w163-h92-k-no,7416559591963729781,ChIJW3AzpSPB5zsRdZ-Dfqfp7GY,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
St. Xavier's High School & Junior College,"22VC+352, opposite Anand Baug Rahivasi Sangh, Nerul East, Sector 3, Nerul, Navi Mumbai, Maharashtra 400706",22VC+352,opposite Anand Baug Rahivasi Sangh,High school,5V6nZsidOqCQseMPtvud6Ac,,NO,345,4.3,https://search.google.com/local/reviews?placeid=ChIJyXqqwtzD5zsRep1xCTFemes&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=16976703835054644602,19.0426269,73.0203977,https://stxaviersnerul.com/,stxaviersnerul.com,"Monday:[6:30 am–6:30 pm], Tuesday:[7 am–5:45 pm], Wednesday:[7 am–5:45 pm], Thursday:[7 am–5:45 pm], Friday:[7 am–5:45 pm], Saturday:[8 am–12:30 pm], Sunday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipNDeMiK19h_NKHlr6JEsJ-35GPdv7KmbsgzaqbN=w163-h92-k-no,16976703835054644602,ChIJyXqqwtzD5zsRep1xCTFemes,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Jaipuriar School,"12 , Sector : 18, PLOT NO.- 88, Off, Palm Beach Service Road, Sector 18, Sanpada, Navi Mumbai, Maharashtra 400705","12 , Sector : 18",PLOT NO.- 88,"CBSE School,Educational institution,School",090297 05430,"090297 05430, +91 90297 05430",YES,654,4.3,https://search.google.com/local/reviews?placeid=ChIJkY2wsTnB5zsRUSo5eXpB-H0&q=navi+mumbai+all+school&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9077077043240839761,19.056497099999998,73.00561789999999,http://www.jaipuriarschool.org/,jaipuriarschool.org,"Monday:[8 am–4:30 pm], Tuesday:[8 am–4:30 pm], Wednesday:[8 am–4:30 pm], Thursday:[8 am–4:30 pm], Friday:[8 am–4:30 pm], Saturday:[8 am–3 pm], Sunday:[9 am–3 pm]",https://lh5.googleusercontent.com/p/AF1QipNEfINUsInWBZP7O27eRLNM_Sd5eOgTHfxYLYrF=w163-h92-k-no,9077077043240839761,ChIJkY2wsTnB5zsRUSo5eXpB-H0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
