Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Sahara Star,"Chhatrapati Shivaji International, 70-C, Nehru Rd, Navpada, Airport Area, Vile Parle, Mumbai, Maharashtra 400047",Chhatrapati Shivaji International,"70-C, Nehru Rd","Hotel,Restaurant",022 3989 5000,"022 3989 5000, +91 22 3989 5000",YES,2572,4.6,https://search.google.com/local/reviews?placeid=ChIJvUPcck3I5zsR5JpNAa9KUaQ&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11840327010835340004,19.095726,72.8536539,http://www.saharastar.com/,saharastar.com,,https://lh5.googleusercontent.com/p/AF1QipNdUYDgrvWPlNlfLbwCD4N_5Q8Z3CuaHNyBLglk=w130-h92-k-no,1.18E+19,ChIJvUPcck3I5zsR5JpNAa9KUaQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radisson Blu Mumbai International Airport,"Marol Maroshi Rd, near Metro Station Marol Naka, Bori Colony, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Marol Maroshi Rd,near Metro Station Marol Naka,Hotel,022 6634 1234,"022 6634 1234, +91 22 6634 1234",YES,5751,4.5,https://search.google.com/local/reviews?placeid=ChIJAXhZlWbJ5zsRloqgZBhCnYs&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10060269815150447254,19.1102222,72.8786221,https://www.radissonhotels.com/en-us/hotels/radisson-blu-mumbai-airport?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INMHBOMAIR,radissonhotels.com,,https://lh5.googleusercontent.com/p/AF1QipOrS68qmoagr4-xtyFOuplnNA4FHWR2Jksg02cP=w137-h92-k-no,1.01E+19,ChIJAXhZlWbJ5zsRloqgZBhCnYs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Mumbai International Airport,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099",Chhatrapati Shivaji Maharaj Int'l Airport Rd,"Ashok Nagar, Andheri East",Hotel,022 6199 0000,"022 6199 0000, +91 22 6199 0000",YES,24653,4.6,https://search.google.com/local/reviews?placeid=ChIJxwRMSyLO5zsRudODuSKThb8&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13800598410497348537,19.1044496,72.8707395,https://www.hilton.com/en/hotels/bomaphi-hilton-mumbai-international-airport/?SEO_id=GMB-APAC-HI-BOMAPHI,hilton.com,,https://lh5.googleusercontent.com/p/AF1QipORIWnSX9fvx5zDm5YI5zAcoPql4MYL6PfhcHP4=w164-h92-k-no,1.38E+19,ChIJxwRMSyLO5zsRudODuSKThb8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofitel Mumbai BKC,"C 57, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",C 57,"G Block BKC, Bandra Kurla Complex, Bandra East",Hotel,022 6117 5000,"022 6117 5000, +91 22 6117 5000",YES,37137,4.7,https://search.google.com/local/reviews?placeid=ChIJ____C9_I5zsR2230MdoS4xo&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1937412993049718235,19.0674785,72.8690412,http://sofitel.accor.com/hotels/6451?merchantid=seo-maps-IN-6451&sourceid=aw-cen&utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps&utm_term=Sofitel-Launch,sofitel.accor.com,,https://lh5.googleusercontent.com/p/AF1QipNaESczYg0tw8TkbNVwb4X0OK6kCdQa0p2Et3sq=w122-h92-k-no,1.94E+18,ChIJ____C9_I5zsR2230MdoS4xo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Pearl View Near US Embassy,"L G C 4 1/2, Lal Bahadur Shastri Marg, near Maharashtra Kanta, Kurla West, Indra Nagar, Mumbai, Maharashtra 400070","L G C 4 1/2, Lal Bahadur Shastri Marg",near Maharashtra Kanta,"Hotel,Bed & breakfast,Guest house,Holiday home,Inn,Lodge,Motel,Service Apartment,Villa",093729 96480,"093729 96480, +91 93729 96480",YES,2520,3.6,https://search.google.com/local/reviews?placeid=ChIJHxcbEcTI5zsRl8HQwapvFZM&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10598500077273137559,19.0545527,72.868365,https://www.pearlview.in/,pearlview.in,,https://lh5.googleusercontent.com/p/AF1QipOUjfdNpcxpEZYyRYIbBAJLA0Yhj6HiflxaXMB_=w80-h106-k-no,1.06E+19,ChIJHxcbEcTI5zsRl8HQwapvFZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taj Lands End, Mumbai","B.J. Road, Bandstand Promenade, Bandra West, Mumbai, Maharashtra 400050",B.J. Road,Bandstand Promenade,Hotel,022 6668 1234,"022 6668 1234, +91 22 6668 1234",NO,34181,4.6,https://search.google.com/local/reviews?placeid=ChIJSRH78kXJ5zsRMTuWOSp0uqI&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11725812304516102961,19.0439124,72.8192683,https://www.tajhotels.com/en-in/hotels/taj-lands-end-mumbai?utm_source=Google&utm_medium=Local&utm_campaign=Taj-Lands-End-Mumbai,tajhotels.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHLPNRqGE94Sa7TDB-GeY5pQIM8sAYHBASL7GGwFeBQsbYRGg4NuWVpXkM62bxfRjoYnWsaHw8nu20c5NMSwV3op57eVn02d4Xx-24hTdJM5RY8SxV0uYDxUH0-T82kgBTO6ZzTR5m4hQ4gahyhEOk7IyeQIFVxgmfnCmBcL6bD3CMXrvSFm9CK=w210-h92-k-no,1.17E+19,ChIJSRH78kXJ5zsRMTuWOSp0uqI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lalit Mumbai,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059",Chhatrapati Shivaji Maharaj Int'l Airport Rd,"Navpada, Marol, Andheri East",Hotel,022 6699 2222,"022 6699 2222, +91 22 6699 2222",YES,27758,4.4,https://search.google.com/local/reviews?placeid=ChIJWYnyhWrI5zsRh1tnwbNIHis&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3107000729813343111,19.1053238,72.8758792,http://www.thelalit.com/the-lalit-mumbai/,thelalit.com,,https://lh5.googleusercontent.com/p/AF1QipOXwEg-WCfquJcJoMKiyW40iEVemtD4upBFw6Ej=w150-h92-k-no,3.11E+18,ChIJWYnyhWrI5zsRh1tnwbNIHis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW Marriott Mumbai Sahar,"Chhatrapati Shivaji International Airport, IA Project Rd, Navpada, Vile Parle East, Vile Parle, Andheri, Mumbai, Maharashtra 400099",Chhatrapati Shivaji International Airport,IA Project Rd,"Hotel,Meeting planning service,Wedding venue",022 6882 8888,"022 6882 8888, +91 22 6882 8888",YES,25119,4.6,https://search.google.com/local/reviews?placeid=ChIJmwZU_FvI5zsRM8YNWRMN3Qo&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=782796286981948979,19.1025072,72.8782482,https://www.marriott.com/en-us/hotels/bomsa-jw-marriott-mumbai-sahar/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,marriott.com,,https://lh5.googleusercontent.com/p/AF1QipOkiWXfkp2pKndemtbcIOrtG5kp-xGinYnVgZ15=w138-h92-k-no,7.83E+17,ChIJmwZU_FvI5zsRM8YNWRMN3Qo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trident Hotel Bandra Kurla,"C 56, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098",C 56,"G Block BKC, Bandra Kurla Complex, Bandra East","Hotel,Bar,Day spa,Italian restaurant,Wedding venue",022 6672 7777,"022 6672 7777, +91 22 6672 7777",YES,28884,4.6,https://search.google.com/local/reviews?placeid=ChIJIagRS-nI5zsRGLstOKTvrHQ&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8407358092990069528,19.0666028,72.8674318,https://www.tridenthotels.com/hotels-in-mumbai-bandra-kurla?utm_source=GMBlisting&utm_medium=organic,tridenthotels.com,,https://lh5.googleusercontent.com/p/AF1QipNusF-3ko1j7BXdhn3nBJB4dJBDYt1e_7iuvmc4=w137-h92-k-no,8.41E+18,ChIJIagRS-nI5zsRGLstOKTvrHQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holiday Inn Mumbai International Airport, an IHG Hotel","Sakinaka, Junction, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra 400072",Sakinaka,"Junction, Andheri - Kurla Rd","Hotel,Conference center,Wedding venue",022 4085 1800,"022 4085 1800, +91 22 4085 1800",YES,28711,4.5,https://search.google.com/local/reviews?placeid=ChIJFciORWTI5zsRr4DUFDsqvQA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=53245203839221935,19.102916,72.8871936,https://www.ihg.com/holidayinn/hotels/us/en/mumbai/bomap/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-IN-_-BOMAP,ihg.com,,https://lh5.googleusercontent.com/p/AF1QipO7b4mCgAi92O4KghVw9vilo6dZvRHJgdugLVsq=w80-h120-k-no,5.32E+16,ChIJFciORWTI5zsRr4DUFDsqvQA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Nest N Rest - Mumbai,,"9, Metro Station",Habibunnisa Vajid Ali Compound,Hotel,088280 70720,"088280 70720, +91 88280 70720",YES,425,4.3,https://search.google.com/local/reviews?placeid=ChIJuZw-9E3J5zsRBT4mXr7MPj0&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4413189802865081861,19.0999373,72.8878101,http://www.nestnrest.in/,nestnrest.in,,https://lh5.googleusercontent.com/p/AF1QipMci5vVNGqCO7SY0Rf8DGUin11lUZase8hxAVBh=w80-h120-k-no,4.41E+18,ChIJuZw-9E3J5zsRBT4mXr7MPj0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novotel Mumbai Juhu Beach,"Balraj Sahni Rd, Juhu, Mumbai, Maharashtra 400049",Balraj Sahni Rd,Juhu,Hotel,022 6693 4444,"022 6693 4444, +91 22 6693 4444",NO,22023,4.3,https://search.google.com/local/reviews?placeid=ChIJeW5hJJjJ5zsRRst7UJbbAQo&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=721098853997857606,19.1086096,72.824356,https://all.accor.com/hotel/6926/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps,all.accor.com,,https://lh5.googleusercontent.com/p/AF1QipOp5Y-IYuzW7GxYQrMI1RxclwnWYPU1nTTGut4H=w122-h92-k-no,7.21E+17,ChIJeW5hJJjJ5zsRRst7UJbbAQo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T2 Beacon Hotel, Andheri, Mumbai","Andheri - Kurla Rd, opp. Jarimari Temple, Jarimari, Saki Naka, Mumbai, Maharashtra 400072",Andheri - Kurla Rd,opp. Jarimari Temple,Hotel,095945 93504,"095945 93504, +91 95945 93504",YES,1606,4,https://search.google.com/local/reviews?placeid=ChIJk0rPdGTI5zsRK2Ze6s8ZOeQ&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=16445203895101056555,19.0913941,72.8826061,http://www.beaconhotels.com/our-hotels/t2-beacon-hotel-mumbai/,beaconhotels.com,,https://lh5.googleusercontent.com/p/AF1QipP_XZCLj5A4SPepLa3FenPprSNw5aXuL1ZPIDpU=w138-h92-k-no,1.64E+19,ChIJk0rPdGTI5zsRK2Ze6s8ZOeQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger Mumbai Andheri (MIDC),"Mahakali Caves Rd, near Holy Spirit Hospital, Sunder Nagar, Andheri East, Mumbai, Maharashtra 400093",Mahakali Caves Rd,near Holy Spirit Hospital,"Hotel,Serviced accommodation,Vacation home rental agency",1860 266 3333,"1860 266 3333, +91 1860 266 3333",YES,4086,3.7,https://search.google.com/local/reviews?placeid=ChIJraEO40PJ5zsR8zRJ8NioRhU&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1533098372863964403,19.1284906,72.8688099,https://www.gingerhotels.com/ginger-mumbai-andheri-midc?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,gingerhotels.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE0OySvoaVX9Aau6-rSIHD5i8PIkeGUhP5WGxkCJS7vYzr14_hPof2q80Xpaxx5BpaHNFrb9TQxIWm8xGTQ-mZO_GUbUFG3wY6QCGacLkwWuzYLVpllOH_UWhFHoi0zonhTkz_WcgGJL46gnc67awjkkony1-xM1Bn7dk1CVsyLyrVl-9xxrnVX=w138-h92-k-no,1.53E+18,ChIJraEO40PJ5zsR8zRJ8NioRhU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novotel Mumbai International Airport,"entrance no 3, CTS 1359, Andheri - Kurla Rd, next to Airport Metro Station, Bori Colony, Marol, Andheri East, Mumbai, Maharashtra 400059",entrance no 3,"CTS 1359, Andheri - Kurla Rd",Hotel,022 6925 8888,"022 6925 8888, +91 22 6925 8888",YES,2638,4.7,https://search.google.com/local/reviews?placeid=ChIJW9F5OxXI5zsR4KRkw4VbeFA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5798485150306444512,19.1101526,72.8753781,https://all.accor.com/hotel/B4C0/index.en.shtml,all.accor.com,,https://lh5.googleusercontent.com/p/AF1QipPVSy7Ev5Qjosd-HzCGor0SHJA8yP61LpGC7OvW=w137-h92-k-no,5.80E+18,ChIJW9F5OxXI5zsR4KRkw4VbeFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taj Santacruz,"Chhatrapati Shivaji Maharaj International Airport, T1, off Western Express Highway, Navpada, Vile Parle East, Santacruz East, Mumbai, Maharashtra 400099",Chhatrapati Shivaji Maharaj International Airport,T1,Hotel,022 6211 5211,"022 6211 5211, +91 22 6211 5211",YES,18509,4.7,https://search.google.com/local/reviews?placeid=ChIJu9xW47XJ5zsRrljlE9w9g2Q&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7242700641177786542,19.092607,72.8543433,https://www.tajhotels.com/en-in/hotels/taj-santacruz-mumbai?utm_source=Google&utm_medium=Local&utm_campaign=Taj-Santacruz-Mumbai,tajhotels.com,,https://lh5.googleusercontent.com/p/AF1QipM9E8-nE9fj2uZnvscVl2iuMK8i1OdpP1YaaTIt=w122-h92-k-no,7.24E+18,ChIJu9xW47XJ5zsRrljlE9w9g2Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juhu Residency Boutique Hotel,"148 B, Juhu Tara Rd, Airport Area, Juhu, Mumbai, Maharashtra 400049","148 B, Juhu Tara Rd","Airport Area, Juhu",Hotel,022 6783 4949,"022 6783 4949, +91 22 6783 4949",YES,981,4.4,https://search.google.com/local/reviews?placeid=ChIJTVIgeL3J5zsR4qS3PIA3FhE&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1231232572046419170,19.1011444,72.8274099,http://juhuresidency.com/,juhuresidency.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHWuOjjS4UA1f7jMEF6xkV7eXSjhKq5t4LTqcN88Ef_wPmOZ5ymfMoFLfweXLjV4m6JUuphn6w5Xo2Yi0f2z6Y8Uzv5w56uZ8547HwyBALXJ7lWAVPeUys_aJ6RuiXdjx76ibuWJAalrunSkkr-NwsNcW0SlzdAAYdx4OoUpfwtOR3wkUGSWQQ_cBkgQ4aknPuHlg=w122-h92-k-no,1.23E+18,ChIJTVIgeL3J5zsR4qS3PIA3FhE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Hyatt Mumbai Hotel & Residences,"Bandra Kurla Complex, Siddharath Nagar, Vakola, Vicinity, Mumbai, Maharashtra 400055",Bandra Kurla Complex,"Siddharath Nagar, Vakola, Vicinity",Hotel,022 6676 1234,"022 6676 1234, +91 22 6676 1234",YES,26800,4.5,https://search.google.com/local/reviews?placeid=ChIJicI_AALJ5zsRrMFrgB6LMEA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4625349780429324716,19.0768067,72.8511248,https://www.hyatt.com/grand-hyatt/en-US/mumgh-grand-hyatt-mumbai/?src=corp_lclb_gmb_seo_mumgh,hyatt.com,,https://lh5.googleusercontent.com/p/AF1QipOx-E5lkvna_eajwn66ZMuCwuJSo_iHrj6iIJ6H=w133-h92-k-no,4.63E+18,ChIJicI_AALJ5zsRrMFrgB6LMEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hotel Solitaire, Mumbai","Sahar International Airport Road, Opp. Domestic Airport Colony, Parsiwada, Andheri East, Mumbai, Maharashtra 400099",Sahar International Airport Road,"Opp. Domestic Airport Colony, Parsiwada",Hotel,022 6709 7777,"022 6709 7777, +91 22 6709 7777",YES,2314,4,https://search.google.com/local/reviews?placeid=ChIJQRmwMRXO5zsRzwHP57PMT0A&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4634147614647845327,19.108737,72.856335,https://solitairehotels.in/,solitairehotels.in,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF-BYATtWd5xEqWetVnYNKj2bA63nAXDfzR6t_RWnPiIK8sAktC1Z3KKYECCpGi6R-O-4_X8D6GvCDeJ6tLq-kvPNC2DTy7J6iwehCfmd1f6H9zYssmbWbWiB46vj-Uo83SY7cX_jxc_MAadnV5NqN731rNTO_mTi5DOK58VebIoVSNw55hsNI0=w80-h120-k-no,4.63E+18,ChIJQRmwMRXO5zsRzwHP57PMT0A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ginger Mumbai, Andheri East","Teli Gali, Andheri East, Mumbai, Maharashtra 400069",Teli Gali,Andheri East,"Hotel,Extended stay hotel,Serviced accommodation,Vacation home rental agency",022 6980 4100,"022 6980 4100, +91 22 6980 4100",YES,4678,3.9,https://search.google.com/local/reviews?placeid=ChIJU_mVac3J5zsRFe2Mt2GVkfI&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=17478915875725438229,19.1159308,72.8503952,https://www.gingerhotels.com/ginger-mumbai-andheri-east?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,gingerhotels.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFtkzmqu9ICBZYMwrbJzZpaaref1Ut4moWVWjdRKlVQGDV7rKRG1I80zZzWwPL-E25MuAUBbsIQIefa69tRSSsXTdFVtEc7qX-Xw8aqisGp42c3WmtCXhmg1vqfkiGBAfi3Ibd0WjMYHTYkMDXQ20oOyHrXEbV2OMdUcBWUTtKDtmQCtBoIDAPM=w138-h92-k-no,1.75E+19,ChIJU_mVac3J5zsRFe2Mt2GVkfI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Hyatt Mumbai Hotel & Residences,"Bandra Kurla Complex, Siddharath Nagar, Vakola, Vicinity, Mumbai, Maharashtra 400055",Bandra Kurla Complex,"Siddharath Nagar, Vakola, Vicinity",Hotel,022 6676 1234,"022 6676 1234, +91 22 6676 1234",YES,26800,4.5,https://search.google.com/local/reviews?placeid=ChIJicI_AALJ5zsRrMFrgB6LMEA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4625349780429324716,19.0768067,72.8511248,https://www.hyatt.com/grand-hyatt/en-US/mumgh-grand-hyatt-mumbai/?src=corp_lclb_gmb_seo_mumgh,hyatt.com,,https://lh5.googleusercontent.com/p/AF1QipOx-E5lkvna_eajwn66ZMuCwuJSo_iHrj6iIJ6H=w133-h92-k-no,4.63E+18,ChIJicI_AALJ5zsRrMFrgB6LMEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novotel Mumbai International Airport,"entrance no 3, CTS 1359, Andheri - Kurla Rd, next to Airport Metro Station, Bori Colony, Marol, Andheri East, Mumbai, Maharashtra 400059",entrance no 3,"CTS 1359, Andheri - Kurla Rd",Hotel,022 6925 8888,"022 6925 8888, +91 22 6925 8888",YES,2638,4.7,https://search.google.com/local/reviews?placeid=ChIJW9F5OxXI5zsR4KRkw4VbeFA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5798485150306444512,19.1101526,72.8753781,https://all.accor.com/hotel/B4C0/index.en.shtml,all.accor.com,,https://lh5.googleusercontent.com/p/AF1QipPVSy7Ev5Qjosd-HzCGor0SHJA8yP61LpGC7OvW=w137-h92-k-no,5.80E+18,ChIJW9F5OxXI5zsR4KRkw4VbeFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
